year,price,mileage,mpg,engineSize,Automatic,Manual,Semi-Auto,Diesel,Electric,Hybrid,Other,Petrol
0.3125,0.44954128440366975,0.04501162443777689,0.08784530386740333,0.45999999999999996,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0
0.328125,0.1724770642201835,0.10739516896246967,0.24806629834254146,0.2,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0
0.34375,0.22935779816513763,0.08431517143934746,0.21049723756906075,0.2,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0
0.296875,0.1614678899082569,0.269658810085396,0.1972375690607735,0.32,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0
0.3125,0.14678899082568808,0.13740479501021713,0.1850828729281768,0.24,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0
0.359375,0.24587155963302754,0.0765524112968144,0.21049723756906075,0.2,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0
0.34375,0.3266605504587156,0.120775938258192,0.2569060773480663,0.4,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0
0.296875,0.15968807339449542,0.17738385413441565,0.2955801104972376,0.3,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0
0.3125,0.18904587155963304,0.06666178796800325,0.24806629834254146,0.2,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0
0.3125,0.15601834862385322,0.17660138592570493,0.24806629834254146,0.2,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0
0.34375,0.3303302752293578,0.043880141632375046,0.1850828729281768,0.3,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0
0.328125,0.23858715596330277,0.14971600344511182,0.1850828729281768,0.4,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0
0.328125,0.2661100917431193,0.08993880986022529,0.23977900552486192,0.3,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0
0.328125,0.24776146788990824,0.07466660662114466,0.09613259668508288,0.3,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
0.3125,0.17436697247706423,0.11534369493872543,0.1740331491712707,0.2,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0
0.328125,0.19271559633027524,0.09180772673282933,0.16353591160220993,0.2,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0
0.328125,0.315651376146789,0.08193962047477243,0.1143646408839779,0.4,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0
0.328125,0.20188990825688075,0.17403443985971864,0.16906077348066298,0.2,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0
0.328125,0.22574311926605506,0.12469953783712277,0.2955801104972376,0.3,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0
0.296875,0.15051376146788992,0.1786842149704745,0.1911602209944751,0.2,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0
0.359375,0.3486238532110092,0.07696334783807975,0.14972375690607734,0.4,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0
0.34375,0.1743119266055046,0.14509437467279881,0.24806629834254146,0.2,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0
0.3125,0.1926605504587156,0.17406821546585005,0.2955801104972376,0.3,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0
0.328125,0.24776146788990824,0.13793394617294236,0.23977900552486192,0.3,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0
0.328125,0.21106422018348625,0.03696740091081551,0.23204419889502761,0.2,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0
0.3125,0.15601834862385322,0.24182771063312375,0.22430939226519334,0.3,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0
0.34375,0.297302752293578,0.028799333494705672,0.1850828729281768,0.3,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0
0.3125,0.15601834862385322,0.17864481009665453,0.17955801104972377,0.2,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0
0.296875,0.1376697247706422,0.108143861565049,0.24806629834254146,0.2,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0
0.34375,0.22018348623853212,0.06994365103043745,0.24806629834254146,0.2,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0
0.328125,0.13761467889908258,0.07245430441953807,0.20386740331491715,0.24,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0
0.375,0.3944954128440367,0.023136290200007882,0.16353591160220993,0.2,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0
0.34375,0.30275229357798167,0.19527366684867967,0.2171270718232044,0.4,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0
0.34375,0.21100917431192662,0.1810766537381152,0.24806629834254146,0.2,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0
0.359375,0.3577981651376147,0.06367264682537449,0.14972375690607734,0.4,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0
0.328125,0.1559633027522936,0.17764842971577827,0.24806629834254146,0.2,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0
0.328125,0.14311926605504588,0.1294675275693385,0.20386740331491715,0.24,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0
0.34375,0.260605504587156,0.03625811318205615,0.1850828729281768,0.2,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0
0.3125,0.18354128440366974,0.16656440163699104,0.20386740331491715,0.2,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0
0.34375,0.25688073394495414,0.09586079946859713,0.20386740331491715,0.2,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0
0.3125,0.1559633027522936,0.12661348885123536,0.2171270718232044,0.2,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0
0.3125,0.28440366972477066,0.16662069431387672,0.2569060773480663,0.4,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0
0.3125,0.1926605504587156,0.14916996447932088,0.21049723756906075,0.4,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0
0.328125,0.3577981651376147,0.07880411837224095,0.1325966850828729,0.4,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0
0.265625,0.14311926605504588,0.19579718874371632,0.22430939226519334,0.32,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0
0.296875,0.13761467889908258,0.3189205316280405,0.2569060773480663,0.32,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0
0.359375,0.3577981651376147,0.09006265374937375,0.14972375690607734,0.4,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0
0.296875,0.1743119266055046,0.17311123995879377,0.3187845303867404,0.3,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0
0.34375,0.23853211009174313,0.00579251645153482,0.14972375690607734,0.2,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0
0.328125,0.22935779816513763,0.04399835625383494,0.1911602209944751,0.2,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0
0.34375,0.22935779816513763,0.055054237994179335,0.2171270718232044,0.2,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0
0.34375,0.22941284403669726,0.09704857495088463,0.1850828729281768,0.2,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0
0.296875,0.17987155963302753,0.1593533097279375,0.21049723756906075,0.32,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0
0.328125,0.18354128440366974,0.2848296865060824,0.24806629834254146,0.2,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0
0.34375,0.19822018348623854,0.21323103077520644,0.2955801104972376,0.3,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0
0.3125,0.18721100917431194,0.3202321509994765,0.2171270718232044,0.4,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0
0.34375,0.28440366972477066,0.059101681462258575,0.2171270718232044,0.2,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0
0.28125,0.11926605504587157,0.28596116931148424,0.1287292817679558,0.32,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0
0.359375,0.24688073394495413,0.037710464245706274,0.21049723756906075,0.2,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0
0.328125,0.1863302752293578,0.17900508322872277,0.24806629834254146,0.2,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0
0.3125,0.13761467889908258,0.1165202118856358,0.1850828729281768,0.24,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0
0.3125,0.2018348623853211,0.16830947462044663,0.2955801104972376,0.3,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0
0.34375,0.30275229357798167,0.18496084844322602,0.1850828729281768,0.4,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0
0.34375,0.21100917431192662,0.17783982481718952,0.24806629834254146,0.2,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0
0.296875,0.1926605504587156,0.07762760142533058,0.16906077348066298,0.3,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0
0.359375,0.3669724770642202,0.06773697809651942,0.14972375690607734,0.4,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0
0.34375,0.3577981651376147,0.06148286169452216,0.2569060773480663,0.4,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0
0.359375,0.3577981651376147,0.05724965239272023,0.09613259668508288,0.4,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0
0.3125,0.1926605504587156,0.17406821546585005,0.2955801104972376,0.3,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0
0.359375,0.3394495412844037,0.012891023006817043,0.1740331491712707,0.2,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0
0.328125,0.21100917431192662,0.13210765411527614,0.16906077348066298,0.3,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0
0.328125,0.3028073394495413,0.07669877225671712,0.2171270718232044,0.4,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0
0.3125,0.1266605504587156,0.19803200801607718,0.1850828729281768,0.24,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0
0.359375,0.20188990825688075,0.09967744296144515,0.21049723756906075,0.2,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0
0.359375,0.24776146788990824,0.05604498910736702,0.21049723756906075,0.2,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0
0.359375,0.297302752293578,0.025562504573779996,0.2171270718232044,0.2,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0
0.3125,0.17436697247706423,0.2159218207303412,0.3187845303867404,0.3,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0
0.296875,0.22941284403669726,0.1456685599770326,0.2569060773480663,0.4,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0
0.3125,0.17436697247706423,0.10315070112529061,0.1325966850828729,0.3,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0
0.328125,0.22023853211009176,0.052560472408144425,0.2171270718232044,0.2,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0
0.34375,0.2661100917431193,0.040147937154855526,0.21049723756906075,0.3,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0
0.328125,0.18354128440366974,0.23643487218747714,0.2171270718232044,0.2,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0
0.328125,0.30275229357798167,0.020822661180007092,0.09613259668508288,0.3,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
0.359375,0.27522935779816515,0.03151826978828324,0.2171270718232044,0.2,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0
0.296875,0.1651376146788991,0.09731315053224726,0.24806629834254146,0.2,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0
0.265625,0.10091743119266056,0.24203036426991212,0.2751381215469613,0.32,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0
0.28125,0.1284954128440367,0.26775611760666057,0.1972375690607735,0.2,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0
0.328125,0.20739449541284405,0.023986309620981406,0.24806629834254146,0.2,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0
0.328125,0.19271559633027524,0.056990706079046174,0.24806629834254146,0.2,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0
0.328125,0.2661100917431193,0.09584954093322,0.14088397790055246,0.3,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
0.328125,0.15601834862385322,0.07178442156459866,0.1850828729281768,0.24,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0
0.3125,0.24776146788990824,0.14013498983917183,0.2569060773480663,0.4,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0
0.328125,0.3211559633027523,0.051029311596854365,0.1143646408839779,0.4,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0
0.359375,0.3395045871559633,0.018525919963072002,0.10773480662983423,0.3,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0
0.265625,0.15968807339449542,0.270931024583012,0.13701657458563538,0.4,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0
0.296875,0.2569357798165138,0.15487241264783863,0.1850828729281768,0.4,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0
0.328125,0.2661100917431193,0.18300749255529347,0.1143646408839779,0.4,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0
0.3125,0.14684403669724772,0.12320778189965267,0.1850828729281768,0.24,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0
0.359375,0.24770642201834864,0.0626481201060554,0.21049723756906075,0.2,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0
0.328125,0.3303302752293578,0.08128662542289873,0.1143646408839779,0.4,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0
0.34375,0.24776146788990824,0.07543218702678968,0.2171270718232044,0.2,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0
0.359375,0.22574311926605506,0.059478842397392526,0.21049723756906075,0.2,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0
0.359375,0.260605504587156,0.04430796597670609,0.21049723756906075,0.2,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0
0.328125,0.1321651376146789,0.05989540820634644,0.20386740331491715,0.24,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0
