model,year,price,mileage,mpg,engineSize,Automatic,Manual,Semi-Auto,Diesel,Electric,Hybrid,Petrol
 C-MAX,2017,9998,12932,68.9,1.5,0,1,0,1,0,0,0
 Focus,2019,18998,22246,64.2,2.0,1,0,0,1,0,0,0
 Fiesta,2019,11798,5530,48.7,1.1,0,1,0,0,0,0,1
 Fiesta,2019,11798,4590,48.7,1.1,0,1,0,0,0,0,1
 Fiesta,2017,8498,28479,65.7,1.0,0,1,0,0,0,0,1
 Kuga,2013,8998,67895,47.9,2.0,0,1,0,1,0,0,0
 Focus,2019,14799,6249,60.1,1.0,0,1,0,0,0,0,1
 Focus,2019,14799,8560,60.1,1.0,0,1,0,0,0,0,1
 Mustang,2020,42489,3500,22.1,5.0,1,0,0,0,0,0,1
 Kuga,2017,17498,9940,45.6,1.5,0,1,0,0,0,0,1
 Focus,2019,16498,4930,60.1,1.0,0,1,0,0,0,0,1
 Focus,2018,19698,12011,41.5,2.0,0,1,0,0,0,0,1
 Fiesta,2016,8498,23053,54.3,1.2,0,1,0,0,0,0,1
 Focus,2016,16998,17589,41.5,2.0,0,1,0,0,0,0,1
 Focus,2019,14998,7000,58.9,1.0,0,1,0,0,0,0,1
 Kuga,2019,20999,5500,47.9,2.0,1,0,0,1,0,0,0
 Focus,2019,14998,7000,60.1,1.0,0,1,0,0,0,0,1
 Focus,2019,14998,7000,58.9,1.0,0,1,0,0,0,0,1
 EcoSport,2019,13998,5000,68.9,1.5,0,1,0,1,0,0,0
 Kuga,2017,13898,33026,60.1,2.0,0,1,0,1,0,0,0
 Fiesta,2016,11498,8560,65.7,1.0,0,1,0,0,0,0,1
 Focus,2018,19698,16548,41.5,2.0,0,1,0,0,0,0,1
 Focus,2017,10498,49485,74.3,1.5,0,1,0,1,0,0,0
 Kuga,2015,12498,60151,54.3,2.0,0,1,0,1,0,0,0
 Focus,2017,11498,9148,61.4,1.0,0,1,0,0,0,0,1
 Fiesta,2017,10998,13548,65.7,1.0,0,1,0,0,0,0,1
 Fiesta,2015,8498,6649,54.3,1.2,0,1,0,0,0,0,1
 Focus,2017,11998,7690,60.1,1.0,0,1,0,0,0,0,1
 Fiesta,2019,11898,3396,48.7,1.1,0,1,0,0,0,0,1
 Fiesta,2019,11498,15766,58.9,1.0,0,1,0,0,0,0,1
 Fiesta,2019,13298,7349,58.9,1.0,0,1,0,0,0,0,1
 C-MAX,2016,9698,36860,68.9,1.5,0,1,0,1,0,0,0
 EcoSport,2018,10498,59498,68.9,1.5,0,1,0,1,0,0,0
 Kuga,2015,10998,17367,60.1,2.0,0,1,0,1,0,0,0
 Fiesta,2017,9598,14403,64.2,1.1,0,1,0,0,0,0,1
 Focus,2019,16998,20647,60.1,1.0,0,1,0,0,0,0,1
 Fiesta,2019,13498,13351,58.9,1.0,0,1,0,0,0,0,1
 Fiesta,2016,6998,34804,54.3,1.2,0,1,0,0,0,0,1
 Kuga,2017,15498,38113,60.1,2.0,0,1,0,1,0,0,0
 Fiesta,2018,9949,27399,64.2,1.1,0,1,0,0,0,0,1
 C-MAX,2018,12998,2455,68.9,1.5,0,1,0,1,0,0,0
 Edge,2016,20799,52000,47.9,2.0,1,0,0,1,0,0,0
 Mustang,2020,38489,3500,30.7,2.3,1,0,0,0,0,0,1
 Fiesta,2018,9489,35417,64.2,1.1,0,1,0,0,0,0,1
 Fiesta,2019,13949,11982,48.7,1.0,0,0,1,0,0,0,1
